"","User_id","Age_yrs","Ethnicity","File.Name","User_task","id","Image.Size","File.Type","ISO","Light.Value","Megapixels","Aperture.Value","Brightness.Value","Exposure.Time","Sensing.Method","Shutter.Speed.Value","White.Balance","Camera.Model.Name","ExifTool.Version.Number","User_task_2","User_cam_utilization_rate","ASQ.reliabiltiy","CSUQ.satisfaction.reliabiltiy","Age","Age_yrs2","User_cam_utilization_rate2"
"1","User_1","(<18 or >65)","White","User_1.jpg","image_surr_no_auth",1," 2560x1920"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.03"," 1/1039"," One-chip color area"," 1/1038"," Auto"," LM-X210(G)"," 12.29","new_camera_location",147,0.662,0.794,37,"(>=18 or <=65)",0.3675
"2","User_2","(>=18 or <=65)","Brown","User_2.jpg","image_surr_auth",2," 2560x1920"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.05"," 1/1072"," One-chip color area"," 1/1072"," Auto"," LM-X220"," 12.29","existing_camera_location",144,0.827,0.846,31,"(>=18 or <=65)",0.36
"3","User_3","(<18 or >65)","Brown","User_3.jpg","image_surr_no_auth",3," 2560x1920"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.15"," 1/1072"," One-chip color area"," 1/1072"," Auto"," LM-X220"," 12.29","new_camera_location",160,0.775,0.797,18,"(>=18 or <=65)",0.4
"4","User_4","(>=18 or <=65)","White","User_4.jpg","image_surr_auth",4," 2560x1920"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.2"," 1/1132"," One-chip color area"," 1/1131"," Auto"," LM-X220"," 12.29","existing_camera_location",151,0.868,0.895,14,"(<18 or >65)",0.3775
"5","User_5","(<18 or >65)","Brown","User_5.jpg","image_surr_no_auth",5," 2560x1920"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.2"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",149,0.751,0.693,47,"(>=18 or <=65)",0.3725
"6","User_6","(>=18 or <=65)","White","User_6.jpg","image_surr_auth",6," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.2"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",155,0.747,0.849,25,"(>=18 or <=65)",0.3875
"7","User_7","(>=18 or <=65)","Black","User_7.jpg","image_surr_no_auth",7," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.23"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",161,0.82,0.69,13,"(<18 or >65)",0.4025
"8","User_8","(>=18 or <=65)","Black","User_8.jpg","image_surr_auth",8," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.27"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",182,0.932,0.852,79,"(<18 or >65)",0.455
"9","User_9","(<18 or >65)","Black","User_9.jpg","image_surr_no_auth",9," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.27"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",164,0.794,0.72,23,"(>=18 or <=65)",0.41
"10","User_10","(<18 or >65)","Black","User_10.jpg","image_surr_auth",10," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.27"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",165,0.688,0.784,65,"(<18 or >65)",0.4125
"11","User_11","(<18 or >65)","Black","User_11.jpg","image_surr_no_auth",11," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.28"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",181,0.731,0.657,71,"(<18 or >65)",0.4525
"12","User_12","(<18 or >65)","Black","User_12.jpg","image_surr_auth",12," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.28"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",150,0.922,0.777,13,"(<18 or >65)",0.375
